"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3188682","Marije  Nouwen","","","","Towards Sustainable Media Practices in Families with Young Children","LBW527:1--LBW527:6","LBW527","6","digital media, parenting, sustainability, young children","10.1145/3170427.3188682","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173762","Steven  Nagels and Raf  Ramakers and Kris  Luyten and Wim  Deferme","","","","Silicone Devices: A Scalable DIY Approach for Fabricating Self-Contained Multi-Layered Soft Circuits Using Microfluidics","188:1--188:13","188","13","diy, fabrication, flexible circuits, stretchable circuits, ubiquitous computing, wearable computing","10.1145/3173574.3173762","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3188458","Rob  van Roy and Sebastian  Deterding and Bieke  Zaman","","","","Uses and Gratifications of Initiating Use of Gamified Learning Platforms","LBW565:1--LBW565:6","LBW565","6","education, gamification, reasons for use, uses &#38; gratifications theory","10.1145/3170427.3188458","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3188464","Merel M. Jung and Geke D. S. Ludden","","","","Potential of Exoskeleton Technology to Assist Older Adults with Daily Living","LBW541:1--LBW541:6","LBW541","6","assistive technology, exoskeleton, mobility, older adults, user perspective","10.1145/3170427.3188464","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173912","Mircea F. Lungu and Luc  van den Brand and Dan  Chirtoaca and Martin  Avagyan","","","","As We May Study: Towards the Web As a Personalized Language Textbook","338:1--338:12","338","12","computer assisted language learning, personalization","10.1145/3173574.3173912","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174098","Sven  Coppers and Jan  Van den Bergh and Kris  Luyten and Karin  Coninx and Iulianna  van der Lek-Ciudin and Tom  Vanallemeersch and Vincent  Vandeghinste","","","","Intellingo: An Intelligible Translation Environment","524:1--524:13","524","13","intelligibility, translation, usability, user interfaces","10.1145/3173574.3174098","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3188465","Jean-Yves Lionel Lawson and Jean  Vanderdonckt and Radu-Daniel  Vatavu","","","","Mass-Computer Interaction for Thousands of Users and Beyond","LBW032:1--LBW032:6","LBW032","6","audience-computer interaction, crowd computing, crowd-computer interaction, large-scale systems","10.1145/3170427.3188465","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3188452","Jean  Vanderdonckt and Bruno  Dumas and Mauro  Cherubini","","","","Comparing Some Distances in Template-based 2D Gesture Recognition","LBW121:1--LBW121:6","LBW121","6","gesture recognition, gesture recognizer, template-based recognition","10.1145/3170427.3188452","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3186597","Gert  Pasman and Marco  Rozendaal and Alan  van Ramshorst and Felix  Quaedvlieg and Mitsue  Osako and Daniel  Aguirre Broca","","","","Cinematic Prototyping: Exploring Future Interactions Without Prototyping Technology","VS05:1--VS05:1","VS05","1","aesthetics of interaction, interaction design, interaction prototyping, objects with intent, smart products","10.1145/3170427.3186597","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173871","Janne  van Kollenburg and Sander  Bogers and Heleen  Rutjes and Eva  Deckers and Joep  Frens and Caroline  Hummels","","","","Exploring the Value of Parent Tracked Baby Data in Interactions with Healthcare Professionals: A Data-Enabled Design Exploration","297:1--297:12","297","12","data-enabled design, healthcare, personal informatics, situated explorations","10.1145/3173574.3173871","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3188509","Tahir  Abbas and Vassilis-Javed  Khan and Daniel  Tetteroo and Panos  Markopoulos","","","","How Creative is the Crowd in Describing Smart Home Scenarios?","LBW030:1--LBW030:6","LBW030","6","creativity evaluation techniques, crowdsourcing, end users, iot, similarity measures, smart home","10.1145/3170427.3188509","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3186596","Iohanna  Nicenboim and Elisa  Giaccardi and Marcel  Schouwenaar","","","","Everyday Entanglements Of The Connected Home","VS04:1--VS04:1","VS04","1","entanglements, internet of things, thing-centered design","10.1145/3170427.3186596","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3173579","Bahareh  Barati and Elisa  Giaccardi and Elvin  Karana","","","","The Making of Performativity in Designing [with] Smart Material Composites","5:1--5:11","5","11","affordance, computational composites, electroluminescent materials, material-driven design, performative qualities, performativity, smart materials","10.1145/3173574.3173579","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
