"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3269232","Konstantina  Bereta and Herv&#233;  Caumont and Erwin  Goor and Manolis  Koubarakis and Despina-Athanasia  Pantazi and George  Stamoulis and Sam  Ubels and Valentijn  Venus and Firman  Wahyudi","","","","From Copernicus Big Data to Big Information and Big Knowledge: A Demo from the Copernicus App Lab Project","1911--1914","","4","copernicus, linked data, satellite data","10.1145/3269206.3269232","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3274275","Joachim  Van Herwegen and Pieter  Heyvaert and Ruben  Taelman and Ben  De Meester and Anastasia  Dimou","","","","Knowledge Representation As Linked Data: Tutorial","2299--2300","","2","[r2]rml, linked data fragments, linked data generation, linked data publishing","10.1145/3269206.3274275","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3269207","Maarten  de Rijke","","","","Shifting Information Interactions","3--3","","1","conversational search, interactive systems","10.1145/3269206.3269207","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3271686","Harrie  Oosterhuis and Maarten  de Rijke","","","","Differentiable Unbiased Online Learning to Rank","1293--1302","","10","gradient descent, learning to rank, online learning","10.1145/3269206.3271686","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3271668","Christophe  Van Gysel and Maarten  de Rijke and Evangelos  Kanoulas","","","","Mix 'N Match: Integrating Text Matching and Product Substitutability Within Product Search","1373--1382","","10","entity similarity, latent vector space models, product search","10.1145/3269206.3271668","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3269301","Jasper  Linmans and Bob  van de Velde and Evangelos  Kanoulas","","","","Improved and Robust Controversy Detection in General Web Pages Using Semantic Approaches Under Large Scale Conditions","1647--1650","","4","controversy detection, neural networks","10.1145/3269206.3269301","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3271676","Felipe  Moraes and Sindunuraga Rikarno  Putra and Claudia  Hauff","","","","Contrasting Search As a Learning Activity with Instructor-designed Learning","167--176","","10","search applications, search as learning, search behaviours analysis","10.1145/3269206.3271676","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3274271","Iman  Elghandour and Ahmet  Kara and Dan  Olteanu and Stijn  Vansummeren","","","","Incremental Techniques for Large-Scale Dynamic Query Processing","2297--2298","","2","big data, data streams, dynamic query processing, incremental view maintenance","10.1145/3269206.3274271","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3269260","Alexey  Borisov and Julia  Kiseleva and Ilya  Markov and Maarten  de Rijke","","","","Calibration: A Simple Way to Improve Click Models","1503--1506","","4","calibration, click models","10.1145/3269206.3269260","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
"article","3271779","Oana  Inel and Giannis  Haralabopoulos and Dan  Li and Christophe  Van Gysel and Zolt&#225;n  Szl&#225;vik and Elena  Simperl and Evangelos  Kanoulas and Lora  Aroyo","","","","Studying Topical Relevance with Evidence-based Crowdsourcing","1253--1262","","10","crowdsourcing, ir evaluation, trec common core track","10.1145/3269206.3271779","","","","","","","2018","","Proceedings of the 27th ACM International Conference on Information and Knowledge Management","CIKM '18","","978-1-4503-6014-2","Torino, Italy","ACM","New York, NY, USA"
