"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3240358","Yucheng  Jin and Nava  Tintarev and Katrien  Verbert","","","","Effects of Personal Characteristics on Music Recommender Systems with Different Levels of Controllability","13--21","","9","cognitive load, personal characteristics, recommendation acceptance, user control","10.1145/3240323.3240358","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240325","Manel  Slokom","","","","Comparing Recommender Systems Using Synthetic Data","548--552","","5","disclosure control, preference hiding, recommendation, synthetic data","10.1145/3240323.3240325","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240326","Zhe  Li","","","","Towards the Next Generation of Multi-criteria Recommender Systems","553--557","","5","multi-criteria, recommender systems, user modeling, user-centered recommendation","10.1145/3240323.3240326","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240352","Anna  Sepliarskaia and Julia  Kiseleva and Filip  Radlinski and Maarten  de Rijke","","","","Preference Elicitation As an Optimization Problem","172--180","","9","cold start problem, mixed initiative search and recommendation, preference elicitation","10.1145/3240323.3240352","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240332","Toine  Bogers and Marijn  Koolen and Bamshad  Mobasher and Alan  Said and Casper  Petersen","","","","2Nd Workshop on Recommendation in Complex Scenarios (Complexrec 2018)","510--511","","2","complex recommendation, constraint-based recommendation, context-aware recommendation, feature-driven recommendation, query-driven recommendation, task-based recommendation","10.1145/3240323.3240332","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240384","Michael  Jugovac and Dietmar  Jannach and Mozhgan  Karimi","","","","Streamingrec: A Framework for Benchmarking Stream-based News Recommenders","269--273","","5","benchmarking, evaluation, news recommendation","10.1145/3240323.3240384","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240335","Toshihiro  Kamishima and Pierre-Nicolas  Schwab and Michael D. Ekstrand","","","","2Nd FATREC Workshop: Responsible Recommendation","516--516","","1","ethics, fairness, recommender system, transparency","10.1145/3240323.3240335","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240366","Qian  Zhao and Martijn C. Willemsen and Gediminas  Adomavicius and F. Maxwell Harper and Joseph A. Konstan","","","","Interpreting User Inaction in Recommender Systems","40--48","","9","decision field theory, decision making, user inaction","10.1145/3240323.3240366","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240361","Zhu  Sun and Jie  Yang and Jie  Zhang and Alessandro  Bozzon and Long-Kai  Huang and Chi  Xu","","","","Recurrent Knowledge Graph Embedding for Effective Recommendation","297--305","","9","attention mechanism, knowledge graph, recurrent neural network, semantic representation","10.1145/3240323.3240361","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","3240337","Peter  Brusilovsky and Marco  de Gemmis and Alexander  Felfernig and Pasquale  Lops and John  O'Donovan and Giovanni  Semeraro and Martijn C. Willemsen","","","","Recsys'18 Joint Workshop on Interfaces and Human Decision Making for Recommender Systems","519--520","","2","","10.1145/3240323.3240337","","","","","","","2018","","Proceedings of the 12th ACM Conference on Recommender Systems","RecSys '18","","978-1-4503-5901-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
