"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3186204","Manolis  Koubarakis and Herve  Caumont and Ulrike  Daniels and Erwin  Goor and Lara  K&#246;nig and Valentijn  Venus","","","","Copernicus App Lab: A Platform for Easy Data Access Connecting the Scientific Earth Observation Community with Mobile Developers","435--436","","2","copernicus, linked data, satellite data","10.1145/3184558.3186204","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191650","Juli&#225;n Andr&#233;s Rojas Mel&#233;ndez and Brecht  Van de Vyvere and Arne  Gevaert and Ruben  Taelman and Pieter  Colpaert and Ruben  Verborgh","","","","A Preliminary Open Data Publishing Strategy for Live Data in Flanders","1847--1853","","7","linked data, live data, open data, rest","10.1145/3184558.3191650","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186570","Robin  Marx","","","","Web Performance Automation for the People","825--829","","5","distributed systems, networking, page load time (PLT), quic protocol, systems automation, user context, web browsers, web performance optimization (WPO)","10.1145/3184558.3186570","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186960","Ruben  Taelman and Miel  Vander Sande and Ruben  Verborgh","","","","OSTRICH: Versioned Random-Access Triple Store","127--130","","4","linked data, ostrich, rdf, triple store, versioning","10.1145/3184558.3186960","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186948","Elias  Moons and Tinne  Tuytelaars and Marie-Francine  Moens","","","","Text-Enriched Representations for News Image Classification","99--100","","2","deep learning, limited training data, news image classification","10.1145/3184558.3186948","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191648","Mathias  De Brouwer and Femke  Ongenae and Glenn  Daneels and Esteban  Municio and Jeroen  Famaey and Steven  Latr&#233; and Filip  De Turck","","","","Personalized Real-Time Monitoring of Amateur Cyclists on Low-End Devices: Proof-of-Concept &#38; Performance Evaluation","1833--1840","","8","cycling, real-time feedback, stream reasoning","10.1145/3184558.3191648","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186181","Maarten  Wijnants and Robin  Marx and Peter  Quax and Wim  Lamotte","","","","HTTP/2 Prioritization and Its Impact on Web Performance","1755--1764","","10","experimental evaluation, http/2, page load time (plt), prioritization, resource loading, web performance optimization (wpo)","10.1145/3178876.3186181","","","","","","","2018","","Proceedings of the 2018 World Wide Web Conference","WWW '18","","978-1-4503-5639-8","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191604","Maarten  de Rijke","","","","Learning to Search for Datasets","1483--1483","","1","dataset search","10.1145/3184558.3191604","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186007","Thijs  Scheepers and Evangelos  Kanoulas and Efstratios  Gavves","","","","Improving Word Embedding Compositionality Using Lexicographic Definitions","1083--1093","","11","compositionality, dictionaries, lexicographic definitions, semantic composition, word embeddings","10.1145/3178876.3186007","","","","","","","2018","","Proceedings of the 2018 World Wide Web Conference","WWW '18","","978-1-4503-5639-8","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186006","Kaja  Zupanc and Jesse  Davis","","","","Estimating Rule Quality for Knowledge Base Completion with the Relationship Between Coverage Assumption","1073--1081","","9","ILP, knowledge base, open world assumption, rule mining","10.1145/3178876.3186006","","","","","","","2018","","Proceedings of the 2018 World Wide Web Conference","WWW '18","","978-1-4503-5639-8","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186977","Andrea  Mauri and Achilleas  Psyllidis and Alessandro  Bozzon","","","","Social Smart Meter: Identifying Energy Consumption Behavior in User-Generated Content","195--198","","4","energy consumption, machine learning, social media","10.1145/3184558.3186977","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186934","Wouter  Lightenberg and Yulong  Pei and George  Fletcher and Mykola  Pechenizkiy","","","","Tink: A Temporal Graph Analytics Library for Apache Flink","71--72","","2","apache flink, temporal graph analytics, tink","10.1145/3184558.3186934","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3185978","Nick  ten Veen and Daco C. Harkes and Eelco  Visser","","","","PixieDust: Declarative Incremental User Interface Rendering Through Static Dependency Tracking","721--729","","9","incremental computing, reactive programming, user interface","10.1145/3184558.3185978","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
